,eventmsgtype,period,pctimestring,homedescription,neutraldescription,visitordescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
352,REB,4,2:03,,,Doncic REBOUND (Off:0 Def:10),,,Luka Doncic,DAL,,,,
353,2FG_AST,4,2:01,,,Jones Jr. 2' Running Dunk (17 PTS) (Doncic 11 AST),99 - 86,-13,Derrick Jones Jr.,DAL,Luka Doncic,DAL,,
354,2FG,4,1:49,Gilgeous-Alexander 12' Fadeaway Jumper (30 PTS),,,99 - 88,-11,Shai Gilgeous-Alexander,OKC,,,,
355,3FG_MISS,4,1:22,,,MISS Doncic 26' 3PT Fadeaway Jumper,,,Luka Doncic,DAL,,,,
356,REB,4,1:21,THUNDER Rebound,,,,,,,,,,
357,3FG_MISS,4,1:13,MISS Joe 26' 3PT Jump Shot,,,,,Isaiah Joe,OKC,,,,
358,REB,4,1:12,Holmgren REBOUND (Off:1 Def:3),,,,,Chet Holmgren,OKC,,,,
359,2FG,4,1:12,Holmgren Tip Dunk Shot (13 PTS),,,99 - 90,-9,Chet Holmgren,OKC,,,,
360,2FG_MISS_BLK,4,0:59,Holmgren BLOCK (1 BLK),,MISS Lively II 1' Jump Shot,,,Dereck Lively II,DAL,,,Chet Holmgren,OKC
361,REB,4,0:56,Gilgeous-Alexander REBOUND (Off:0 Def:6),,,,,Shai Gilgeous-Alexander,OKC,,,,
362,2FG_MISS_BLK,4,0:54,MISS Gilgeous-Alexander 2' Running Layup,,Doncic BLOCK (1 BLK),,,Shai Gilgeous-Alexander,OKC,,,Luka Doncic,DAL
363,REB,4,0:54,,,Lively II REBOUND (Off:3 Def:7),,,Dereck Lively II,DAL,,,,
364,PF,4,0:50,Jal. Williams P.FOUL (P3.PN) (C.Kirkland),,,,,Jalen Williams,OKC,Derrick Jones Jr.,DAL,,
365,FT_MAKE,4,0:50,,,Jones Jr. Free Throw 1 of 2 (18 PTS),100 - 90,-10,Derrick Jones Jr.,DAL,,,,
366,SUB,4,0:50,,,SUB: Hardy FOR Irving,,,Kyrie Irving,DAL,Jaden Hardy,DAL,,
367,SUB,4,0:50,,,SUB: Hardaway Jr. FOR Doncic,,,Luka Doncic,DAL,Tim Hardaway Jr.,DAL,,
368,FT_MAKE,4,0:50,,,Jones Jr. Free Throw 2 of 2 (19 PTS),101 - 90,-11,Derrick Jones Jr.,DAL,,,,
369,SUB,4,0:50,SUB: Giddey FOR Dort,,,,,Luguentz Dort,OKC,Josh Giddey,OKC,,
370,2FG_AST,4,0:42,Giddey 2' Cutting Layup Shot (11 PTS) (Gilgeous-Alexander 8 AST),,,101 - 92,-9,Josh Giddey,OKC,Shai Gilgeous-Alexander,OKC,,
371,PF,4,0:38,Gilgeous-Alexander P.FOUL (P3.PN) (C.Kirkland),,,,,Shai Gilgeous-Alexander,OKC,Dereck Lively II,DAL,,
372,FT_MAKE,4,0:38,,,Lively II Free Throw 1 of 2 (9 PTS),102 - 92,-10,Dereck Lively II,DAL,,,,
373,SUB,4,0:38,SUB: Wallace FOR Giddey,,,,,Josh Giddey,OKC,Cason Wallace,OKC,,
374,FT_MAKE,4,0:38,,,Lively II Free Throw 2 of 2 (10 PTS),103 - 92,-11,Dereck Lively II,DAL,,,,
375,3FG_MISS,4,0:32,MISS Gilgeous-Alexander 26' 3PT Step Back Jump Shot,,,,,Shai Gilgeous-Alexander,OKC,,,,
