eventmsgtype,period,pctimestring,score,scoremargin,player1_name,player2_name,player3_name,homedescription,visitordescription,neutraldescription
MISS-BLOCK,1,4:59,,,Zach LaVine,,,MISS LaVine 3PT Jump Shot,,
DREB-OREB,1,4:58,,,Ayo Dosunmu,,,Dosunmu REBOUND (Off:2 Def:2),,
MADE FG - ASSIST,1,4:56,21 - 15,-6,Coby White,Ayo Dosunmu,,White 19' Pullup Jump Shot (2 PTS) (Dosunmu 2 AST),,
FOUL,1,4:56,,,Shai Gilgeous-Alexander,Coby White,,,Gilgeous-Alexander S.FOUL (P2.T4) (D.Taylor),
SUBSTITUTION,1,4:56,,,Josh Giddey,Lindy Waters III,,,SUB: Waters III FOR Giddey,
MADE FREE THROW,1,4:56,21 - 16,-5,Coby White,,,White Free Throw 1 of 1 (3 PTS),,
MADE FG - ASSIST,1,4:38,24 - 16,-8,Luguentz Dort,Lindy Waters III,,,Dort 24' 3PT Jump Shot (7 PTS) (Waters III 1 AST),
MISS-BLOCK,1,4:26,,,Coby White,,,MISS White 10' Fadeaway Jumper,,
DREB-OREB,1,4:23,,,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander REBOUND (Off:0 Def:1),
FOUL,1,4:20,,,Ayo Dosunmu,Shai Gilgeous-Alexander,,Dosunmu S.FOUL (P2.T3) (T.Ford),,
MADE FREE THROW,1,4:20,25 - 16,-9,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander Free Throw 1 of 2 (5 PTS),
MADE FREE THROW,1,4:20,,,Shai Gilgeous-Alexander,,,,MISS Gilgeous-Alexander Free Throw 2 of 2,
SUBSTITUTION,1,4:20,,,Ayo Dosunmu,Nikola Vucevic,,SUB: Vucevic FOR Dosunmu,,
SUBSTITUTION,1,4:20,,,Patrick Williams,Alex Caruso,,SUB: Caruso FOR Williams,,
SUBSTITUTION,1,4:20,,,Jalen Williams,Tre Mann,,,SUB: Mann FOR Jal. Williams,
DREB-OREB,1,4:16,,,Coby White,,,White REBOUND (Off:0 Def:1),,
FOUL,1,4:01,,,Lindy Waters III,Zach LaVine,,,Waters III S.FOUL (P1.PN) (T.Ford),
MADE FREE THROW,1,4:01,25 - 17,-8,Zach LaVine,,,LaVine Free Throw 1 of 2 (6 PTS),,
MADE FREE THROW,1,4:01,25 - 18,-7,Zach LaVine,,,LaVine Free Throw 2 of 2 (7 PTS),,
MADE FG - ASSIST,1,3:46,28 - 18,-10,Kenrich Williams,Luguentz Dort,,,K. Williams 28' 3PT Jump Shot (3 PTS) (Dort 1 AST),
STEAL-TUROVER,1,3:27,,,Coby White,Shai Gilgeous-Alexander,,White Bad Pass Turnover (P1.T5),Gilgeous-Alexander STEAL (2 STL),
MADE FG - ASSIST,1,3:18,30 - 18,-12,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander 20' Step Back Jump Shot (7 PTS),
MADE FG - ASSIST,1,3:04,30 - 21,-9,Derrick Jones Jr.,Zach LaVine,,Jones Jr. 3PT Jump Shot (3 PTS) (LaVine 1 AST),,
9,1,2:57,,,,,,,Thunder Timeout: Regular (Reg.1 Short 0),
SUBSTITUTION,1,2:57,,,Luguentz Dort,Mike Muscala,,,SUB: Muscala FOR Dort,
